emp_no,first_name,last_name,gender,salary,to_date
21470,Kousuke,Botman,M,45639,1/1/99
21527,DeForest,Yurov,F,40000,1/1/99
21542,Miomir,Sherertz,F,56185,1/1/99
21547,Fatemeh,Crooks,F,40000,1/1/99
21548,Maren,Gimbel,M,49951,1/1/99
21555,Uinam,Biron,F,40000,1/1/99
21566,Angel,Demos,F,61752,1/1/99
21660,Kwan,Casperson,M,40000,1/1/99
21663,Eberhardt,Serra,F,40000,1/1/99
21666,Remzi,Kroon,M,68269,1/1/99
21674,Kannan,Naumovich,F,44125,1/1/99
21675,Vishu,Genin,M,40000,1/1/99
21677,Zhensheng,Kavvadias,M,40000,1/1/99
21580,Debatosh,Morton,F,53897,1/1/99
21683,Jiang,Velasco,M,51350,1/1/99
21686,Kinh,Jansch,M,55890,1/1/99
21692,Reinhard,Hitomi,F,57798,1/1/99
21693,Palash,Schurmann,M,87515,1/1/99
21583,Elliott,Fasbender,M,44042,1/1/99
21697,Billur,Luke,F,78956,1/1/99
21585,Shalesh,Gelosh,F,61381,1/1/99
21704,Xiaobin,Chorvat,M,40000,1/1/99
21705,Aleksandar,Luon,M,51814,1/1/99
21588,Licheng,Masamoto,M,55000,1/1/99
21708,Angel,Lichtner,F,40000,1/1/99
21713,Guther,Boreale,M,40208,1/1/99
21609,Sibyl,Pappas,M,80510,1/1/99
21741,Muneo,Raoux,M,40000,1/1/99
21612,Martial,Bardell,M,82560,1/1/99
21615,Shirish,Morrey,M,79062,1/1/99
21751,Uinam,Savasere,M,40000,1/1/99
21754,Kenroku,Jonsson,F,42362,1/1/99
21636,Munir,Erde,M,48121,1/1/99
21758,Susumu,Picht,F,81328,1/1/99
21767,Supot,Lieblein,M,40000,1/1/99
21783,Domenick,Qiwen,F,64772,1/1/99
21639,Caolyn,Domenig,M,44814,1/1/99
21642,Shaz,Erman,M,49874,1/1/99
21808,Arra,Bharadwaj,M,40610,1/1/99
21643,Yuuichi,Maksimenko,M,40210,1/1/99
21646,Gila,Guardalben,M,41370,1/1/99
21820,Sanjay,Khasidashvili,M,81547,1/1/99
21648,Mayuko,Fandrianto,F,42629,1/1/99
21844,Feipei,Birta,F,50924,1/1/99
21832,Suzette,Vecchio,M,64710,1/1/99
21835,Mang,Luck,M,48163,1/1/99
21848,Atreyi,Zhang,M,42767,1/1/99
21851,Falguni,Budinsky,F,68104,1/1/99
21859,Padma,Swen,F,71833,1/1/99
21877,Brigham,Biran,M,75382,1/1/99
22030,Lokesh,Hockney,M,57100,1/1/99
21894,Marke,Yemenis,M,54884,1/1/99
22054,Ottavia,Benveniste,F,40000,1/1/99
22066,Nakhoon,Roison,M,40000,1/1/99
21897,Sampalli,Kavanagh,M,85262,1/1/99
22072,Kasturi,Pettit,M,51418,1/1/99
21908,Fen,Parfitt,M,52324,1/1/99
22081,Constantine,Baar,F,41698,1/1/99
21920,Naftali,Schneeberger,M,56825,1/1/99
22095,Breannda,Schlumberger,F,50512,1/1/99
22100,Vishwani,Spataro,M,85569,1/1/99
21926,Boguslaw,Aloisi,F,73514,1/1/99
22111,Rasiah,Felcyn,M,66782,1/1/99
21980,Gen,Miyakawa,M,53209,1/1/99
22121,Saeed,Pfau,M,40000,1/1/99
22133,Annemarie,Bernardeschi,M,40000,1/1/99
22135,Guiseppe,Nyrup,M,48289,1/1/99
22136,Naftali,Thiran,M,69488,1/1/99
22140,Susanne,Reghbati,M,62443,1/1/99
22146,Volkmar,Suermann,F,40000,1/1/99
22150,Kristina,Zweizig,F,67163,1/1/99
22165,Alenka,Emiris,F,63349,1/1/99
22179,Rosine,Garnick,M,71161,1/1/99
22180,Iara,Luef,F,43450,1/1/99
21984,Martine,Lemarechal,M,40000,1/1/99
22190,Berry,Perna,F,58561,1/1/99
21987,Dipankar,Fontet,M,56799,1/1/99
21994,Lech,Babb,M,53931,1/1/99
22008,Karlis,Ferretti,M,52459,1/1/99
22210,Christoph,Pouyioutas,F,63788,1/1/99
22012,DeForest,Armand,F,42886,1/1/99
22023,Mart,Vidya,M,46984,1/1/99
22024,Weidon,Flexer,F,41467,1/1/99
22405,Gritta,Parveen,F,56020,1/1/99
22216,Thodoros,Cooley,M,64616,1/1/99
22224,Brendon,Rohrbach,M,61487,1/1/99
22226,Bangqing,Vigier,F,43408,1/1/99
22234,Arno,Narwekar,M,56671,1/1/99
22416,Feiyu,Syrotiuk,F,40000,1/1/99
22255,Kristian,Merel,M,43442,1/1/99
22263,Xiahua,Claffy,F,58364,1/1/99
22265,Yonghong,Claffy,F,40000,1/1/99
22269,Berto,Reeken,F,40000,1/1/99
22271,Sampalli,Kushnir,M,40000,1/1/99
22424,Krister,Engelmann,M,47921,1/1/99
22282,Shaz,Streit,F,60024,1/1/99
22292,Ekawit,Bernardinello,M,40000,1/1/99
22429,Franziska,Terekhov,F,41561,1/1/99
22303,Garnik,Lortz,M,51855,1/1/99
22437,Xiaoqiu,Orsini,M,41444,1/1/99
22309,Lena,Liedekerke,F,62189,1/1/99
22440,Odinaldo,Restivo,M,40000,1/1/99
22443,Mari,Baja,M,51204,1/1/99
22325,Susanta,Hebden,F,44813,1/1/99
22480,Boaz,Mikschl,M,78893,1/1/99
22326,Mani,Skafidas,M,74850,1/1/99
22332,Rosine,Hebden,F,40000,1/1/99
22337,Leszek,Picci,M,40000,1/1/99
22367,Terresa,Barinka,M,40329,1/1/99
22370,Aloys,Oxenboll,M,76113,1/1/99
22372,Mitchel,Bugrara,M,43809,1/1/99
22482,Perla,Parascandalo,F,40000,1/1/99
22374,Soenke,Klassen,F,76757,1/1/99
22375,Snehasis,Kulisch,M,47344,1/1/99
22496,Yongqiao,Yavatkar,M,44922,1/1/99
22381,Uma,Openshaw,F,77651,1/1/99
22509,Zejun,Shumilov,M,61470,1/1/99
22511,Sadun,Isard,F,40000,1/1/99
22520,Mokhtar,Ranka,F,45814,1/1/99
22593,Danae,Jeansoulin,M,52423,1/1/99
22536,Sukumar,Andreotta,M,40000,1/1/99
22596,Slavian,Wegerle,M,47430,1/1/99
22601,Shigenori,Staelin,M,56272,1/1/99
22609,Zvonko,Baalen,F,66371,1/1/99
22617,Uli,Tibblin,F,40000,1/1/99
22620,Terresa,Dusink,M,62623,1/1/99
22623,Tommaso,Champarnaud,M,46491,1/1/99
22625,Weicheng,Pleszkun,F,40000,1/1/99
22549,Reinhard,Michaels,M,52206,1/1/99
22557,Abdulla,Luon,M,82178,1/1/99
22649,Reuven,Driscoll,M,40376,1/1/99
22766,Yishay,Jumpertz,M,40000,1/1/99
22663,Bokyung,Fargier,M,64475,1/1/99
22682,Kristina,Ananiadou,M,40000,1/1/99
22691,Morris,Bottner,M,62992,1/1/99
22702,Faiza,Reeken,F,40000,1/1/99
22772,Sandeepan,McClurg,F,46367,1/1/99
22716,Sreekrishna,Waymire,F,64602,1/1/99
22776,Ekawit,Whitcomb,F,54775,1/1/99
22720,Olivera,Gornas,F,52448,1/1/99
22783,Takahiro,Beerel,M,83582,1/1/99
22726,Steve,Shanbhogue,M,67607,1/1/99
22728,Makato,Codenie,M,99580,1/1/99
22730,Premal,Basart,M,51123,1/1/99
22735,Paddy,Diderrich,F,42702,1/1/99
22786,Moss,Usdin,M,105882,1/1/99
22788,Prasadram,Plumb,M,40000,1/1/99
22744,Berna,Spelt,F,51822,1/1/99
22794,Adib,Schiper,M,40000,1/1/99
22749,Snehasis,Famili,M,53701,1/1/99
22753,Yoshinari,Khalil,F,40000,1/1/99
22755,Marla,Albarhamtoshy,M,63264,1/1/99
22758,Mabry,Rijckaert,F,59665,1/1/99
22809,Ziyad,Krupka,M,40000,1/1/99
22812,Weiru,Kemmerer,F,53399,1/1/99
22833,Alassane,Plessier,F,51912,1/1/99
22838,Brendon,Markovitch,F,40000,1/1/99
22854,Trygve,Koblitz,M,41649,1/1/99
22953,Adhemar,Bashian,F,43331,1/1/99
22961,Hirochika,Masamoto,M,44463,1/1/99
22962,Nikolaos,Peek,F,40000,1/1/99
22855,Shalesh,Thimonier,F,46111,1/1/99
22861,Susumu,Baja,M,56524,1/1/99
22987,Jeanna,Pehl,M,40708,1/1/99
22863,Petter,Denna,F,57027,1/1/99
22995,Ger,Stanfel,M,57931,1/1/99
22873,Ebbe,Ashish,M,59298,1/1/99
23000,Arfst,Murillo,M,40000,1/1/99
23001,Akhilish,Irland,M,52018,1/1/99
23007,Hyuckchul,Spell,F,63693,1/1/99
22886,Gudjon,Templeman,F,40000,1/1/99
23011,Suzette,Ferretti,M,50445,1/1/99
23023,Premsyl,Lenart,M,40000,1/1/99
22889,Edwin,Klassen,M,40000,1/1/99
23026,Junichi,Lortz,M,52693,1/1/99
22894,Muzhong,Casley,M,76090,1/1/99
23034,Josyula,Rosca,F,40000,1/1/99
22897,Weiru,Heering,F,40000,1/1/99
22904,Irene,Azulay,F,40000,1/1/99
23049,Zhenbing,Gurbaxani,M,40000,1/1/99
23052,Ayonca,Salinas,M,68964,1/1/99
23053,Radhakrishnan,Riefers,F,40000,1/1/99
22908,Eran,Bratsberg,M,40000,1/1/99
23066,Shuho,Deville,M,51798,1/1/99
23068,Eldridge,Brlek,M,40000,1/1/99
22910,Shawna,Cummings,M,72381,1/1/99
22917,Adas,Pfau,M,47460,1/1/99
22919,Georg,Skogmar,F,40000,1/1/99
23086,Nathan,Lemarechal,M,40000,1/1/99
23087,Nectarios,Bernini,M,75082,1/1/99
22923,Kristof,Laventhal,F,43991,1/1/99
23092,Aris,Brookman,M,40000,1/1/99
23095,Muneo,Woycyznski,M,56231,1/1/99
22924,Ziyad,Leslie,F,53978,1/1/99
23104,Tadanori,Anido,F,40000,1/1/99
22928,Sanjeeva,Angot,F,40000,1/1/99
22934,Parviz,Plumb,M,91442,1/1/99
23119,Yaghout,Byoun,F,52289,1/1/99
22935,Toshimo,Foong,M,40000,1/1/99
22940,Shih,Isaac,M,40000,1/1/99
22947,Herbert,Schmiedel,F,61316,1/1/99
23323,Siamak,Alvarado,F,48952,1/1/99
23136,Narain,Skogmar,M,56024,1/1/99
23330,Aloke,Cooley,M,61255,1/1/99
23138,Pascal,Kaelbling,M,40000,1/1/99
23151,Ortrun,Lunt,M,91783,1/1/99
23342,Xinglin,Berendt,M,40000,1/1/99
23157,Siddarth,Llado,M,40000,1/1/99
23159,Atilio,Esposito,M,40435,1/1/99
23172,Kazuhide,Birjandi,M,44565,1/1/99
23347,Kwun,Rosaz,F,71668,1/1/99
23362,Youjian,Yurek,M,47408,1/1/99
23195,Mark,Ertl,M,47070,1/1/99
23363,Jacqueline,Zeleznik,M,47315,1/1/99
23369,Khalil,Zykh,M,61057,1/1/99
23196,Sahrah,Cheshire,M,65710,1/1/99
23197,Marjo,Ducloy,M,40000,1/1/99
23204,Adib,Lieblein,F,40000,1/1/99
23370,Morris,Bodoff,M,45506,1/1/99
23374,Samphel,Gecsei,F,40000,1/1/99
23220,Christoper,Back,F,40000,1/1/99
23224,Nikolaos,Engelmann,F,50328,1/1/99
23225,Xuejia,Burnard,M,55906,1/1/99
23398,Georgy,Marwedel,M,69439,1/1/99
23246,Muneo,Bhattacharjee,M,61942,1/1/99
23252,Dzung,Simkin,F,64713,1/1/99
23404,Anneli,Gini,F,63624,1/1/99
23406,Masadi,Masada,F,65602,1/1/99
23269,Aamer,Szmurlo,M,49962,1/1/99
23420,Rosli,Gronowski,M,43571,1/1/99
23278,Hein,Morrey,F,50229,1/1/99
23421,Hironoby,Denti,M,42253,1/1/99
23290,Parviz,Papsdorf,M,62875,1/1/99
23428,Luerbio,Pews,M,57558,1/1/99
23300,Froduald,Schauser,F,60044,1/1/99
23441,Sarita,Staudhammer,M,43192,1/1/99
23314,Krassimir,Demizu,F,81622,1/1/99
23442,Vesna,Rindone,M,40000,1/1/99
23448,Gil,Unno,M,55573,1/1/99
23454,Heejo,Felcyn,M,74964,1/1/99
23455,Aemilian,Sethi,F,44109,1/1/99
23466,Chikara,Anandan,F,56208,1/1/99
23470,Neven,Hutton,F,58086,1/1/99
23506,Shiv,Luck,F,40000,1/1/99
23511,Amalendu,Gecseg,F,43560,1/1/99
23521,Goh,Pappas,F,40000,1/1/99
23527,Shiv,Borstler,M,40000,1/1/99
23532,Duke,Bardell,F,65085,1/1/99
23533,Shimshon,Heemskerk,M,51814,1/1/99
23536,Nagui,Vural,F,40000,1/1/99
23538,Bernardo,Pargaonkar,M,46145,1/1/99
23554,Toshiki,Bail,F,53968,1/1/99
23480,Dannz,Busillo,F,53631,1/1/99
23561,Jingling,Zizka,M,48337,1/1/99
23573,Hercules,Steinauer,M,40000,1/1/99
23691,Satoru,Stille,M,60076,1/1/99
23581,Houman,Narlikar,M,69404,1/1/99
23589,Ziya,Perko,M,48998,1/1/99
23592,Marek,Templeman,M,68278,1/1/99
23620,Clyde,Reeker,F,77230,1/1/99
23626,Bogdan,Vilarrasa,M,40000,1/1/99
23692,Aris,Merey,M,43618,1/1/99
23633,Jinpo,Nyrup,F,45809,1/1/99
23695,Babette,Genin,F,40000,1/1/99
23703,Prodip,Thimonier,F,40000,1/1/99
23640,Leucio,Mamelak,M,48632,1/1/99
23642,Kwangjo,Pusterhofer,M,48854,1/1/99
23643,Mariangiola,Ozeri,F,43055,1/1/99
23648,Jinxi,Luiz,M,40000,1/1/99
23707,Yoshimitsu,Ananiadou,M,46238,1/1/99
23749,Emdad,Ponthieu,F,40000,1/1/99
23659,Gina,Verhoeff,M,40000,1/1/99
23660,JoAnna,Portugali,M,40000,1/1/99
23663,Chaosheng,Kitai,M,57706,1/1/99
23676,Sham,Openshaw,M,90184,1/1/99
23677,Rafael,Sevcikova,M,96782,1/1/99
23753,Karsten,Isaac,M,64455,1/1/99
23757,Yaghout,Ozery,M,47056,1/1/99
23761,Jouni,Menhardt,M,76893,1/1/99
23764,Hsiangchu,Cyne,M,47732,1/1/99
23777,Juichirou,Kilgore,M,40000,1/1/99
23877,Tesuro,Motley,M,82724,1/1/99
23880,Hairong,Angelopoulos,F,40000,1/1/99
23883,Dayanand,Ozery,F,40783,1/1/99
23784,Aiman,Merli,F,40000,1/1/99
23907,Isamu,Dahlbom,M,68827,1/1/99
23910,Shahab,Tempesti,F,42803,1/1/99
23791,Boguslaw,Pavlopoulou,M,55247,1/1/99
23924,Shakhar,Solovay,M,40000,1/1/99
23930,Sreenivas,Frezza,F,40000,1/1/99
23932,Lubomir,Harbusch,M,40000,1/1/99
23797,Torsten,Usery,M,56625,1/1/99
23938,Nahum,Facello,M,49319,1/1/99
23940,Jingling,Haldar,F,50848,1/1/99
23946,Carrsten,Streit,M,41631,1/1/99
23817,Duri,Coorg,F,71444,1/1/99
23952,Valdiodio,Oehlmann,F,70411,1/1/99
23963,Goo,Soloway,M,40000,1/1/99
23969,Elgin,Sullins,M,61491,1/1/99
23977,Jouko,Boissier,F,84078,1/1/99
23822,Faiza,Rosar,M,57773,1/1/99
23824,Maris,Porotnikoff,F,40000,1/1/99
23828,Yonghong,Ecklund,F,40000,1/1/99
23993,Gian,Ghalwash,M,40000,1/1/99
23996,Debaprosad,Hasham,F,40000,1/1/99
24001,Sachio,Lorys,M,42026,1/1/99
24003,Ronnie,Linares,M,59452,1/1/99
23835,Yoshinari,Hennings,F,40000,1/1/99
24012,Kauko,Hiltgen,M,44768,1/1/99
23840,Thanasis,Polupanov,M,43469,1/1/99
23842,Genevieve,Birdsall,F,40000,1/1/99
23843,Shin,Murtha,F,77598,1/1/99
24029,Heekeun,Maksimenko,F,57431,1/1/99
23857,Kristen,Frijda,M,46531,1/1/99
24034,Murthy,Validov,F,40000,1/1/99
24041,Macha,Bednarek,M,40000,1/1/99
24045,Moto,Szmurlo,M,40000,1/1/99
23860,Malu,Kumaresan,M,66328,1/1/99
23868,Trygve,Reistad,M,49745,1/1/99
23869,Raimond,Stiles,M,40000,1/1/99
24056,Gladys,Shrader,M,91264,1/1/99
24059,Kendra,Swab,F,40000,1/1/99
23872,Cedric,Ranst,M,60200,1/1/99
23875,Waiman,Encarnacion,M,40000,1/1/99
24251,Moto,Mondadori,F,56717,1/1/99
24256,Salvador,Clemencon,F,40200,1/1/99
24072,Tianruo,Piveteau,F,42591,1/1/99
24077,Kerhong,Zedlitz,F,73732,1/1/99
24260,Atilio,Brookman,M,40000,1/1/99
24269,Prodip,Peron,M,51386,1/1/99
24284,Huan,Tchuente,F,73889,1/1/99
24108,Shaz,Kushnir,M,44261,1/1/99
24110,Lucien,Baar,F,65941,1/1/99
24112,Atreyi,Ginneken,M,45327,1/1/99
24118,Elliott,Monarch,F,77728,1/1/99
24120,Luerbio,Badr,F,40000,1/1/99
24121,Franziska,Bale,F,63748,1/1/99
24316,Feiyu,Cincotta,F,40000,1/1/99
24126,Candida,Wallrath,F,40599,1/1/99
24132,Otilia,Puoti,F,40000,1/1/99
24133,Prodip,Ramalingam,F,40000,1/1/99
24136,Isamu,Henders,F,57963,1/1/99
24140,Basem,Thombley,M,59707,1/1/99
24153,Lidong,Anger,M,63144,1/1/99
24154,Khaled,Hashii,F,79702,1/1/99
24156,Bangqing,Willoner,M,42938,1/1/99
24334,Zhilian,Brookman,F,73699,1/1/99
24166,Niranjan,Chinal,F,57476,1/1/99
24178,Jouko,Sherertz,F,49316,1/1/99
24182,Teunis,Antonisse,M,40000,1/1/99
24183,Muneo,Rousseau,F,48461,1/1/99
24363,Bowen,Biran,M,43392,1/1/99
24196,Radhika,Boyle,M,68657,1/1/99
24199,Iara,Bach,M,43068,1/1/99
24207,Frazer,Rodham,M,40389,1/1/99
24209,Hilary,Msuda,M,40000,1/1/99
24215,Feipei,Iivonen,M,70276,1/1/99
24224,Vasilis,Kinley,M,49619,1/1/99
24225,Shugo,Eiter,M,98584,1/1/99
24383,Aksel,Erev,M,40000,1/1/99
24388,Zhilian,Milicic,F,61315,1/1/99
24389,Kenroku,Shimshoni,M,55607,1/1/99
24397,Shaibal,Shimshoni,M,52260,1/1/99
24409,Eckart,Puoti,M,40000,1/1/99
24432,Jackson,Vakili,F,74287,1/1/99
24423,Seshu,Feinberg,M,73857,1/1/99
24428,Moie,Lunn,F,40000,1/1/99
24457,Alain,Merkl,F,40000,1/1/99
24459,Masako,Puoti,F,41215,1/1/99
24460,Yinghua,Lanphier,M,69794,1/1/99
24472,Behnaam,Oehlmann,M,76011,1/1/99
24486,Kerhong,Quaggetto,F,61923,1/1/99
24497,Jackson,Rando,F,40000,1/1/99
24429,Murthy,Anger,M,70034,1/1/99
24503,Anyuan,Kusakari,M,40000,1/1/99
24617,Ramachenga,Cullers,M,40000,1/1/99
24508,Uzi,Penn,F,66662,1/1/99
24522,Shunichi,Hopewell,M,40000,1/1/99
24525,Ronnie,Gelosh,M,40000,1/1/99
24526,Ayonca,Sudbeck,M,40981,1/1/99
24533,Shigenori,Erman,M,49362,1/1/99
24534,Berni,Morton,F,40000,1/1/99
24646,Patricia,Takkinen,M,50383,1/1/99
24556,Ziva,Boyle,M,78072,1/1/99
24559,Armond,Zeleznik,M,83718,1/1/99
24572,Hirochika,Setlzner,M,63273,1/1/99
24657,Berna,Silva,M,40000,1/1/99
24581,Jouni,Roccetti,F,61538,1/1/99
24588,Huiqun,Kranzdorf,F,104465,1/1/99
24596,Ayonca,Stranks,M,68819,1/1/99
24666,Leif,Birsak,F,67836,1/1/99
24680,Garnet,Takkinen,M,46522,1/1/99
24613,Hitofumi,Stifter,M,72578,1/1/99
24682,Nigel,Ginesta,M,40000,1/1/99
24690,Eldridge,Ghazalie,F,63340,1/1/99
24696,Ohad,Munoz,F,40000,1/1/99
24701,Raimond,Zeleznik,F,40000,1/1/99
24705,Luisa,Jervis,M,83320,1/1/99
24720,Owen,Zirintsis,F,58014,1/1/99
24725,Yechezkel,Openshaw,M,70008,1/1/99
24823,Garnet,Walstra,F,60223,1/1/99
24829,Dietrich,Wiegley,F,47574,1/1/99
24727,Akeno,Gecseg,M,59984,1/1/99
24728,Margo,Trumbly,M,53750,1/1/99
24746,Tianruo,Tsukuda,F,60533,1/1/99
24846,Suvo,Iwayama,M,40000,1/1/99
24855,Dung,Lund,M,40000,1/1/99
24862,Susumu,Muntz,F,82129,1/1/99
24872,Oguz,Decaestecker,M,89311,1/1/99
24748,Tua,Perng,F,56646,1/1/99
24879,Subhash,Schaap,M,63435,1/1/99
24881,Shin,Sadowsky,M,40000,1/1/99
24752,Fan,Mersereau,F,43763,1/1/99
24888,Murthy,Felder,F,90268,1/1/99
24891,Sham,Danner,F,40000,1/1/99
24767,Kiyokazu,Pagter,F,40000,1/1/99
24896,Gen,McConalogue,M,40000,1/1/99
24909,Constantine,Garrabrants,M,74552,1/1/99
24915,Morris,Liedekerke,F,59866,1/1/99
24775,Ziyad,Spelt,M,40000,1/1/99
24925,Gennady,Thebaut,M,60601,1/1/99
24781,Yefim,Xiaoshan,F,40000,1/1/99
24932,Charmane,Erbe,F,73521,1/1/99
24934,Carrsten,Bruckman,M,40000,1/1/99
24937,Syozo,Carrera,F,40000,1/1/99
24939,Shuho,Angot,M,43476,1/1/99
24790,Kiyokazu,Chachaty,F,78040,1/1/99
24951,Fayez,Kirkerud,M,41297,1/1/99
24954,Foong,Swick,M,64934,1/1/99
24793,Kristen,Brizzi,M,66663,1/1/99
24963,Cathie,Redmiles,M,47590,1/1/99
25003,Dietrich,Benzmuller,M,85160,1/1/99
24976,Khun,Vakili,M,67727,1/1/99
24985,Martins,Bottner,M,73662,1/1/99
25004,Youpyo,Schurmann,F,58960,1/1/99
25007,Dipankar,Showalter,F,40000,1/1/99
25016,Danny,Asrin,F,40000,1/1/99
25019,Lech,Kadhim,M,40000,1/1/99
25020,Kazuhiro,Lores,F,50459,1/1/99
25022,Zengping,Hiroyama,M,62723,1/1/99
25037,Adib,Magliocco,F,63524,1/1/99
25210,Arumugam,Kumaresan,M,40000,1/1/99
25046,Mart,Cyre,M,55583,1/1/99
25220,Shuho,Mullainathan,M,40000,1/1/99
25222,Weicheng,Ananiadou,F,45419,1/1/99
25225,Abdelaziz,Vrecion,M,63803,1/1/99
25050,Jahangir,Fraisse,M,40000,1/1/99
25070,Morris,Fortenbacher,M,51459,1/1/99
25244,Ayonca,Rosay,M,40000,1/1/99
25254,Matt,Peek,M,61383,1/1/99
25255,Heng,Erdi,F,84701,1/1/99
25084,Alenka,Jullig,M,61168,1/1/99
25269,Kazuhiko,Hainaut,M,62306,1/1/99
25085,Tran,Usery,M,69009,1/1/99
25282,Gladys,Papadias,M,43928,1/1/99
25108,Wanqing,Eterovic,F,53886,1/1/99
25299,Remzi,Binding,F,48887,1/1/99
25302,Susanna,Minakawa,F,40162,1/1/99
25308,Abdelaziz,Mayerwieser,M,40000,1/1/99
25112,Muneo,Haraldson,F,68760,1/1/99
25117,Masamitsu,Cichocki,M,50673,1/1/99
25327,Mohamadou,Miculan,M,53164,1/1/99
25138,Guadalupe,Marrakchi,M,40000,1/1/99
25335,Etsuo,Itzfeldt,M,40000,1/1/99
25339,Brewster,Bale,M,40000,1/1/99
25350,Boriana,Sommer,F,40000,1/1/99
25352,Moie,Ranta,M,40000,1/1/99
25139,Aloke,Jiang,M,51419,1/1/99
25145,Serge,Ashish,F,40000,1/1/99
25154,Eldridge,Eugenio,M,40000,1/1/99
25167,Flemming,Delaune,M,40000,1/1/99
25362,Falguni,Ponthieu,M,52215,1/1/99
25363,Ipke,Moehrke,M,40000,1/1/99
25541,Mohua,Danley,M,40716,1/1/99
25370,Jagoda,Puoti,M,72462,1/1/99
25371,Goh,Ishibashi,F,40000,1/1/99
25376,Nathan,Panienski,M,45803,1/1/99
25379,Eric,Mullainathan,F,59373,1/1/99
25391,Hatsukazu,Billawala,M,40000,1/1/99
25393,Claudi,Frijda,F,65677,1/1/99
25401,Arunachalam,Francisci,F,58499,1/1/99
25546,Charmane,Engelmann,M,40000,1/1/99
25406,Dung,Improta,M,40000,1/1/99
25547,Krassimir,Ranum,M,40000,1/1/99
25412,Berna,Rotem,M,43360,1/1/99
25550,Shaz,Haddadi,F,40000,1/1/99
25562,Bernardo,Menhardt,F,62196,1/1/99
25573,Trygve,Bahi,F,65382,1/1/99
25599,Masoud,Pillow,F,82038,1/1/99
25462,Vasilii,Rohrbach,M,40000,1/1/99
25475,Flemming,Fujisaki,M,40000,1/1/99
25479,Paddy,Tchuente,M,41726,1/1/99
25600,Jinpo,McClurg,F,87210,1/1/99
25491,Annemarie,Rosis,M,44737,1/1/99
25495,Stein,Lakshmanan,F,58845,1/1/99
25497,Mitsuyuki,Varman,M,40000,1/1/99
25504,Pramod,Servi,F,40000,1/1/99
25514,Sushant,Homond,M,58733,1/1/99
25520,Sajjad,Rubsam,M,40000,1/1/99
25521,Chanjung,Raney,M,52752,1/1/99
25537,Akeel,Ibel,F,103268,1/1/99
25603,Kwangsub,Desikan,F,62162,1/1/99
25615,Aria,Strehl,F,55339,1/1/99
25632,Arunachalam,Ramamoorthy,M,56685,1/1/99
25633,Haldon,Azumi,M,43726,1/1/99
25643,Adin,Peak,F,60206,1/1/99
25730,Shao,Monarch,M,67870,1/1/99
25732,Shounak,Ducloy,M,41037,1/1/99
25644,Kwangho,Straney,M,58794,1/1/99
25738,Yuchang,McClure,M,75043,1/1/99
25656,Eben,Narwekar,F,40000,1/1/99
25755,Aria,Setiz,M,40000,1/1/99
25670,Youssef,Chvatal,M,40000,1/1/99
25761,Hugo,Lundstrom,F,55770,1/1/99
25765,Demin,Suermann,F,56143,1/1/99
25771,Sibyl,Passino,F,40000,1/1/99
25772,Greger,Marrevee,M,51275,1/1/99
25777,Leucio,Famili,F,44614,1/1/99
25673,Ottavia,Azulay,F,44111,1/1/99
25790,Suebskul,Plump,M,59606,1/1/99
25685,Shalesh,Sommer,F,48843,1/1/99
25794,Ymte,Prenel,F,64431,1/1/99
25795,Claudi,Erie,M,40000,1/1/99
25797,Morrie,Nooteboom,M,40000,1/1/99
25801,Genta,Trogemann,M,52478,1/1/99
25804,Krisda,Vesna,F,42937,1/1/99
25811,Fen,Ranze,F,48112,1/1/99
25692,Lein,Unno,M,40000,1/1/99
25717,Froduald,Speek,M,66977,1/1/99
25828,Selwyn,Perly,F,40000,1/1/99
25835,Maria,Poehlman,M,40000,1/1/99
25839,Ewing,Simkin,F,40000,1/1/99
25841,Shahab,Ernst,F,58556,1/1/99
25918,Yoshimitsu,Iisaka,M,58774,1/1/99
25858,Tzu,Hitomi,M,40000,1/1/99
25859,Subhrajyoti,Vasanthakumar,F,44460,1/1/99
25862,Khaled,Tasistro,F,40000,1/1/99
25866,Tadanori,Nannarelli,M,58319,1/1/99
25867,Mamdouh,Ernst,F,69313,1/1/99
25873,Yakichi,Codenie,M,40000,1/1/99
25880,Zhanqiu,Pintelas,F,40000,1/1/99
25882,Aleksander,Pellegrinelli,M,83732,1/1/99
25885,Takanari,Zockler,F,55643,1/1/99
26102,Mechthild,Eldridge,M,62902,1/1/99
26106,Fumiya,Halevi,F,49105,1/1/99
26110,Lorien,Veevers,M,45294,1/1/99
26111,Tru,Spataro,F,60490,1/1/99
26112,Zhiguo,Sadowski,F,52959,1/1/99
26113,Larisa,Brandsma,M,79099,1/1/99
26119,Akeno,Vesna,F,40000,1/1/99
26121,Ipke,Krichel,M,40000,1/1/99
26126,Gal,Candan,M,62077,1/1/99
26144,Kamakshi,Khasidashvili,F,66843,1/1/99
26153,Reuven,Bernini,M,40000,1/1/99
26162,Yechiam,Grospietsch,F,53817,1/1/99
25935,Berhard,Parascandalo,F,72520,1/1/99
26172,Sedat,Bahr,M,51715,1/1/99
26185,Pramod,Dulin,M,40000,1/1/99
26188,Karlis,Hartvigsen,M,47055,1/1/99
26192,Geoffry,Tetzlaff,M,55928,1/1/99
25937,Angus,Bodoff,F,40000,1/1/99
25939,Shen,Setiz,F,58709,1/1/99
25952,Zito,Kalloufi,M,64988,1/1/99
26221,Ashish,Straney,M,40000,1/1/99
